;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
158;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 2);36709;0.7614583333333333;0.7075182056375463;"BoW
(1, 2)"
159;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 2);36709;0.7708333333333334;0.7167362851573378;"TF-IDF
(1, 2)"
160;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 3);69350;0.7333333333333333;0.6458469263480158;"BoW
(1, 3)"
161;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 3);69350;0.6916666666666667;0.49143664486113137;"TF-IDF
(1, 3)"
162;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 3);69350;0.7604166666666666;0.6769726247987117;"BoW
(1, 3)"
163;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 3);69350;0.7583333333333333;0.7046127154524705;"TF-IDF
(1, 3)"
164;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 3);69350;0.7020833333333333;0.6216556810916898;"BoW
(1, 3)"
165;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 3);69350;0.6572916666666667;0.6080714392558209;"TF-IDF
(1, 3)"
166;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 3);69350;0.703125;0.6486565897086055;"BoW
(1, 3)"
167;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 3);69350;0.7416666666666667;0.6680162901613089;"TF-IDF
(1, 3)"
168;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 3);69350;0.7020833333333333;0.6216556810916898;"BoW
(1, 3)"
169;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 3);69350;0.6583333333333333;0.6092296222953527;"TF-IDF
(1, 3)"
170;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 3);69350;0.7;0.6407072201196561;"BoW
(1, 3)"
171;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 3);69350;0.7489583333333333;0.684453605881151;"TF-IDF
(1, 3)"
172;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 3);69350;0.7333333333333333;0.646121477779396;"BoW
(1, 3)"
