;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
171;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 3);68464;0.7547169811320755;0.695392944603061;"TF-IDF
(1, 3)"
172;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 3);68464;0.7316561844863732;0.6394707734169754;"BoW
(1, 3)"
173;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 3);68464;0.6886792452830188;0.4744066067640314;"TF-IDF
(1, 3)"
174;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 3);68464;0.759958071278826;0.6998659295642478;"BoW
(1, 3)"
175;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 3);68464;0.7536687631027253;0.7215609414089265;"TF-IDF
(1, 3)"
176;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 4);98993;0.7295597484276729;0.6326210826210826;"BoW
(1, 4)"
177;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 4);98993;0.6823899371069182;0.46902514432679415;"TF-IDF
(1, 4)"
178;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 4);98993;0.7484276729559748;0.6869994900984314;"BoW
(1, 4)"
179;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 4);98993;0.7557651991614256;0.7110102615048978;"TF-IDF
(1, 4)"
180;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 4);98993;0.7064989517819706;0.63401072212215;"BoW
(1, 4)"
181;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 4);98993;0.6781970649895178;0.6361785614030454;"TF-IDF
(1, 4)"
182;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 4);98993;0.6886792452830188;0.6315910523358266;"BoW
(1, 4)"
183;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 4);98993;0.7641509433962265;0.7106804432139647;"TF-IDF
(1, 4)"
