;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
95;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7544596012591815;0.6996665223995525;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
96;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7481636935991606;0.7025897941415659;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
97;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7376705141657922;0.6914975932610479;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
98;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7282266526757608;0.6678053778862564;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
99;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7471143756558237;0.6961603211603212;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
100;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.5973569448107398;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 2)"
101;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6820566631689402;0.5904287184272997;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 2)"
102;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6820566631689402;0.5904287184272997;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 2)"
103;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.5973569448107398;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 2)"
104;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.5973569448107398;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 2)"
105;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.5973569448107398;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 2)"
106;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.5973569448107398;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 2)"
107;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.5993015921591915;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 2)"
108;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.5973569448107398;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 2)"
